run,type,module,name,attrname,attrvalue,value,count,sumweights,mean,stddev,min,max,underflows,overflows,binedges,binvalues
General-0-20250310-16:32:25-6414,runattr,,,configname,General,,,,,,,,,,,
General-0-20250310-16:32:25-6414,runattr,,,datetime,20250310-16:32:25,,,,,,,,,,,
General-0-20250310-16:32:25-6414,runattr,,,datetimef,20250310-163225,,,,,,,,,,,
General-0-20250310-16:32:25-6414,runattr,,,experiment,General,,,,,,,,,,,
General-0-20250310-16:32:25-6414,runattr,,,inifile,omnetpp.ini,,,,,,,,,,,
General-0-20250310-16:32:25-6414,runattr,,,iterationvars,,,,,,,,,,,,
General-0-20250310-16:32:25-6414,runattr,,,iterationvarsd,,,,,,,,,,,,
General-0-20250310-16:32:25-6414,runattr,,,iterationvarsf,,,,,,,,,,,,
General-0-20250310-16:32:25-6414,runattr,,,measurement,,,,,,,,,,,,
General-0-20250310-16:32:25-6414,runattr,,,network,test_project.usingStandardProtocols.SimpleNetwork,,,,,,,,,,,
General-0-20250310-16:32:25-6414,runattr,,,processid,6414,,,,,,,,,,,
General-0-20250310-16:32:25-6414,runattr,,,repetition,0,,,,,,,,,,,
General-0-20250310-16:32:25-6414,runattr,,,replication,#0,,,,,,,,,,,
General-0-20250310-16:32:25-6414,runattr,,,resultdir,results,,,,,,,,,,,
General-0-20250310-16:32:25-6414,runattr,,,runnumber,0,,,,,,,,,,,
General-0-20250310-16:32:25-6414,runattr,,,seedset,0,,,,,,,,,,,
General-0-20250310-16:32:25-6414,config,,,image-path,../../../omnetpp-6.1.0/samples/inet/images,,,,,,,,,,,
General-0-20250310-16:32:25-6414,config,,,network,test_project.usingStandardProtocols.SimpleNetwork,,,,,,,,,,,
General-0-20250310-16:32:25-6414,config,,,sim-time-limit,5000s,,,,,,,,,,,
General-0-20250310-16:32:25-6414,config,,,**.router.forwarding,true,,,,,,,,,,,
General-0-20250310-16:32:25-6414,config,,,**.router.ipv4.typename,inet.networklayer.ipv4.Ipv4NetworkLayer,,,,,,,,,,,
General-0-20250310-16:32:25-6414,config,,,**.router.ipv4.ip.typename,test_project.usingStandardProtocols.CustomNetworkLayer,,,,,,,,,,,
General-0-20250310-16:32:25-6414,config,,,**.router.numEthInterfaces,2,,,,,,,,,,,
General-0-20250310-16:32:25-6414,config,,,**.client.numEthInterfaces,1,,,,,,,,,,,
General-0-20250310-16:32:25-6414,config,,,**.server.numEthInterfaces,1,,,,,,,,,,,
General-0-20250310-16:32:25-6414,config,,,**.client.numApps,1,,,,,,,,,,,
General-0-20250310-16:32:25-6414,config,,,**.client.app[0].typename,inet.applications.udpapp.UdpBasicApp,,,,,,,,,,,
General-0-20250310-16:32:25-6414,config,,,**.client.app[0].destAddresses,"""server""",,,,,,,,,,,
General-0-20250310-16:32:25-6414,config,,,**.client.app[0].destPort,5000,,,,,,,,,,,
General-0-20250310-16:32:25-6414,config,,,**.client.app[0].messageLength,1024B,,,,,,,,,,,
General-0-20250310-16:32:25-6414,config,,,**.client.app[0].startTime,0s,,,,,,,,,,,
General-0-20250310-16:32:25-6414,config,,,**.client.app[0].sendInterval,1s,,,,,,,,,,,
General-0-20250310-16:32:25-6414,config,,,**.server.numApps,1,,,,,,,,,,,
General-0-20250310-16:32:25-6414,config,,,**.server.app[0].typename,inet.applications.udpapp.UdpSink,,,,,,,,,,,
General-0-20250310-16:32:25-6414,config,,,**.server.app[0].localPort,5000,,,,,,,,,,,
General-0-20250310-16:32:25-6414,config,,,**.vector-recording,true,,,,,,,,,,,
General-0-20250310-16:32:25-6414,config,,,**.scalar-recording,true,,,,,,,,,,,
General-0-20250310-16:32:25-6414,config,,,**.statistic-recording,true,,,,,,,,,,,
